Year,Year over year inflation,Dollar value vs 1969 dollars,2018 Dollars
1969,0.06,1,0.13
1970,0.06,0.94,0.14
1971,0.03,0.91,0.14
1972,0.03,0.88,0.14
1973,0.09,0.81,0.16
1974,0.12,0.71,0.18
1975,0.07,0.66,0.19
1976,0.05,0.63,0.20
1977,0.07,0.58,0.22
1978,0.09,0.53,0.24
1979,0.13,0.46,0.28
1980,0.13,0.4,0.32
1981,0.09,0.37,0.35
1982,0.04,0.35,0.37
1983,0.04,0.34,0.38
1984,0.04,0.33,0.40
1985,0.04,0.31,0.41
1986,0.01,0.31,0.42
1987,0.04,0.3,0.43
1988,0.04,0.28,0.45
1989,0.05,0.27,0.48
1990,0.06,0.25,0.51
1991,0.03,0.25,0.52
1992,0.03,0.24,0.54
1993,0.03,0.23,0.56
1994,0.03,0.23,0.57
1995,0.03,0.22,0.59
1996,0.03,0.21,0.61
1997,0.02,0.21,0.62
1998,0.02,0.21,0.63
1999,0.03,0.2,0.65
2000,0.03,0.19,0.67
2001,0.02,0.19,0.69
2002,0.02,0.19,0.70
2003,0.02,0.18,0.72
2004,0.03,0.18,0.74
2005,0.03,0.17,0.76
2006,0.03,0.17,0.78
2007,0.04,0.16,0.82
2008,0,0.16,0.82
2009,0.03,0.16,0.84
2010,0.02,0.15,0.86
2011,0.03,0.15,0.89
2012,0.02,0.15,0.90
2013,0.02,0.14,0.92
2014,0.01,0.14,0.93
2015,0.01,0.14,0.94
2016,0.02,0.14,0.96
2017,0.02,0.14,0.98
2018,0.02,0.13,1