Year,Average population,Live births,Deaths,Natural change,"Crude birth rate (per 1,000)","Crude death rate (per 1,000)","Natural change (per 1,000)",Total fertility rate
1969,201385000.00,3600206.00,1921990.00,1678216.00,17.90,9.50,8.40,2.47
1970,203984000.00,3731386.00,1921031.00,1810355.00,18.40,9.40,9.00,2.48
1971,206827000.00,3555970.00,1927542.00,1628428.00,17.20,9.30,7.90,2.27
1972,209284000.00,3258411.00,1963944.00,1294467.00,15.60,9.40,6.20,2.01
1973,211357000.00,3136965.00,1973003.00,1163962.00,14.80,9.50,5.30,1.88
1974,213342000.00,3159958.00,1934388.00,1225570.00,14.80,9.10,5.70,1.84
1975,215465000.00,3144198.00,1892879.00,1251319.00,14.60,8.80,5.80,1.77
1976,217563000.00,3167788.00,1909440.00,1258348.00,14.60,8.80,5.80,1.74
1977,219760000.00,3326632.00,1899597.00,1427035.00,15.10,8.60,6.50,1.79
1978,222095000.00,3333279.00,1927788.00,1405491.00,15.00,8.70,6.30,1.76
1979,224567000.00,3494398.00,1913841.00,1580557.00,15.60,8.50,7.10,1.81
1980,227225000.00,3612258.00,1989841.00,1622417.00,15.90,8.80,7.10,1.84
1981,229466000.00,3629238.00,1977981.00,1651257.00,15.80,8.60,7.20,1.81
1982,231664000.00,3680537.00,1974797.00,1705740.00,15.90,8.50,7.40,1.83
1983,233792000.00,3638933.00,2019201.00,1619732.00,15.60,8.60,6.90,1.80
1984,235825000.00,3669141.00,2039369.00,1629772.00,15.60,8.60,6.90,1.81
1985,237924000.00,3760561.00,2086440.00,1674121.00,15.80,8.80,7.00,1.84
1986,240133000.00,3756547.00,2105361.00,1651186.00,15.60,8.80,6.90,1.84
1987,242289000.00,3809394.00,2123323.00,1686071.00,15.70,8.80,7.00,1.87
1988,244499000.00,3909510.00,2167999.00,1741511.00,16.00,8.90,7.10,1.93
1989,246819000.00,4040958.00,2150466.00,1890492.00,16.40,8.70,7.70,2.01
1990,249623000.00,4158212.00,2148463.00,2009749.00,16.70,8.60,8.10,2.08
1991,252981000.00,4110907.00,2169518.00,1941389.00,16.20,8.60,7.70,2.06
1992,256514000.00,4065014.00,2175613.00,1889401.00,15.80,8.50,7.40,2.05
1993,259919000.00,4000240.00,2268553.00,1731687.00,15.40,8.70,6.70,2.02
1994,263126000.00,3952767.00,2278994.00,1673773.00,15.00,8.70,6.40,2.00
1995,266278000.00,3899589.00,2312132.00,1587457.00,14.60,8.70,6.00,1.98
1996,269394000.00,3891494.00,2314690.00,1576804.00,14.40,8.60,5.90,1.98
1997,272647000.00,3880894.00,2314245.00,1566649.00,14.20,8.50,5.70,1.97
1998,275854000.00,3941553.00,2337256.00,1604297.00,14.30,8.50,5.80,2.00
1999,279040000.00,3959417.00,2391399.00,1568018.00,14.20,8.60,5.60,2.01
2000,282172000.00,4058814.00,2403351.00,1655463.00,14.40,8.50,5.90,2.06
2001,285082000.00,4025933.00,2416425.00,1609508.00,14.10,8.50,5.60,2.03
2002,287804000.00,4021726.00,2443387.00,1578339.00,14.00,8.50,5.50,2.02
2003,290326000.00,4089950.00,2448288.00,1641662.00,14.10,8.40,5.50,2.05
2004,293046000.00,4112052.00,2397615.00,1714437.00,14.00,8.20,5.90,2.05
2005,295753000.00,4138349.00,2448017.00,1690332.00,14.00,8.30,5.70,2.06
2006,298593000.00,4265555.00,2426264.00,1839291.00,14.30,8.10,6.20,2.11
2007,301580000.00,4316234.00,2423712.00,1892522.00,14.30,8.00,6.30,2.12
2008,304375000.00,4247694.00,2471984.00,1775710.00,14.00,8.10,5.90,2.07
2009,307007000.00,4130665.00,2437163.00,1693502.00,13.50,7.90,5.60,2.00
2010,309330000.00,3999386.00,2468435.00,1530951.00,13.00,8.00,5.00,1.93
2011,311583000.00,3953590.00,2515458.00,1438412.00,12.70,8.10,4.60,1.89
2012,313874000.00,3952841.00,2543279.00,1409562.00,12.60,8.10,4.50,1.88
2013,316129000.00,3932181.00,2596993.00,1336183.00,12.40,8.20,4.20,1.86
2014,319113000.00,3988076.00,2626418.00,1361658.00,12.50,8.20,4.30,1.86
2015,321442000.00,3978497.00,2712630.00,1265867.00,12.40,8.40,4.00,1.84
2016,323100000.00,3945875.00,2744248.00,1201627.00,12.20,8.50,3.70,1.82
2017,325719000.00,3967938.80,2791313.80,1169123.60,12.20,8.44,3.29,1.79
2018,328161857.14,3970632.74,2839354.60,1120505.00,12.13,8.49,3.01,1.77